Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2010,2010,Head,41,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2011,2011,Head,55,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2012,2012,Head,34,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2013,2013,Head,56,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2014,2014,Head,27,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2015,2015,Head,30,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2016,2016,Head,16,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2017,2017,Head,24,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2018,2018,Head,19,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2019,2019,Head,26,I,Imputed value
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2020,2020,Head,20,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2132,Asses,2021,2021,Head,16,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2010,2010,1000 US$,38,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2011,2011,1000 US$,79,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2012,2012,1000 US$,47,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2013,2013,1000 US$,69,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2014,2014,1000 US$,40,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2015,2015,1000 US$,290,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2016,2016,1000 US$,14,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2017,2017,1000 US$,38,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2018,2018,1000 US$,16,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2019,2019,1000 US$,20,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2020,2020,1000 US$,11,A,Official figure
TCL,Crops and livestock products,250,France,5622,Import Value,2132,Asses,2021,2021,1000 US$,19,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2010,2010,Head,5,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2011,2011,Head,16,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2012,2012,Head,4,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2013,2013,Head,8,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2014,2014,Head,36,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2015,2015,Head,49,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2016,2016,Head,16,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2017,2017,Head,28,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2018,2018,Head,9,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2019,2019,Head,25,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2020,2020,Head,144,A,Official figure
TCL,Crops and livestock products,250,France,5908,Export Quantity,2132,Asses,2021,2021,Head,9,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2010,2010,1000 US$,12,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2011,2011,1000 US$,18,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2012,2012,1000 US$,5,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2013,2013,1000 US$,4,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2014,2014,1000 US$,11,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2015,2015,1000 US$,18,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2016,2016,1000 US$,7,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2017,2017,1000 US$,17,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2018,2018,1000 US$,7,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2019,2019,1000 US$,50,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2020,2020,1000 US$,192,A,Official figure
TCL,Crops and livestock products,250,France,5922,Export Value,2132,Asses,2021,2021,1000 US$,21,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2012,2012,Head,25,T,Unofficial figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2013,2013,Head,25,T,Unofficial figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2014,2014,Head,23,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2015,2015,Head,10,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2016,2016,Head,11,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2017,2017,Head,1,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2018,2018,Head,9,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2121.01,Camels,2019,2019,Head,22,A,Official figure
